day,meal_type,name,serving_size,calories,total_fat,total_carbohydrate,protein,category
Monday,Lunch,Cream Cheese 1z Pc,1z Cup,100, 9, 1, 2,Cheese
Monday,Lunch,Fresh Avocado,Ounce,45, 4.5, 2, 0,Toppings
Monday,Lunch,Jif Peanut Butter PC,0.75z,120, 10, 5, 4,Toppings
Monday,Lunch,Nutella Chocolate Hazelnut Spread,Ounce,150, 9, 18, 1,Toppings
Monday,Lunch,Tomatoes,Ounce,5, 0, 1, 0,Miscellaneous
Monday,Lunch,Unsalted Butter,Ounce,200, 22, 0, 0,Miscellaneous
Monday,Lunch,Caramel Topping,Ounce,80, 0, 18, 0,Miscellaneous
Monday,Lunch,Cone Cake Jacketed,Cone,null,null,null,null,Miscellaneous
Monday,Lunch,Dutch Chocolate Syrup,Ounce,70, 0, 16, < 1,Miscellaneous
Monday,Lunch,Mini Semi-Sweet Choc Chips,Ounce,130, 8, 19, 2,Snack
Monday,Lunch,Oreo Cookie Topping,Ounce,140, 5, 21, 1,Cookie
Monday,Lunch,Rainbow Sprinkles,Ounce,140, 7, 21, 0,Ice Cream
Monday,Lunch,Baby Carrots,3 Carrots,10, 0, 2, 0,Sides
Monday,Lunch,Celery Sticks,Ounce,0, 0, < 1, 0,Miscellaneous
Monday,Lunch,Flax Seed,Ounce,150, 12, 8, 5,Toppings
Monday,Lunch,Hummus with Tahini,1z Portion,70, 5, 4, 2,Snack
Monday,Lunch,Kalamata Olive Hummus,1z Portion,70, 6, 4, 2,Snack
Monday,Lunch,Nutritional Yeast,Gram,null,null,null,null,Miscellaneous
Monday,Lunch,Organic Black Chia Seed,Ounce,140, 9, 12, 5,Toppings
Monday,Lunch,Raw Mediterranean Pita Chips,1 oz portion,70, 0.5, 13, 2,Snack
Monday,Lunch,Roasted & Salted Sunflower Seeds,1 Tablespoon,90, 7, 3, 3,Toppings
Monday,Lunch,Roasted Garlic Hummus,1z Portion,70, 5, 4, 2,Snack
Monday,Lunch,Roasted Red Pepper Hummus,1z Portion,60, 4, 4, 2,Snack
